speech_turn,use_of_force_level
Hit him again. Put your hands behind your back. Hands behind your back. Release em. mam,4
climb out the window you better figure the out right now you do anything other than you're told your is going to get hit with this rubber bullet you understand m'am,4
climb out the window you better figure the out right now you do anything other than you're told your is going to get hit with this rubber bullet you understand mam,4
Hit him again. Put your hands behind your back. handz behind your back. Release em. Sir.,4
Hit him again. Put your hands behind your back. Hands behind your back. Release em. ser,4
Hit him again. Put your hanz behind your back. Hands behind your back. Release em. Sir.,4
Stop pleece you're gonna get TASED Now.,4
Stop pollice you're gonna get TASED Now.,4
stahp police you're gonna get TASED Now.,4
"Hey, stop pleece you're gonna get tased",4
"Hey, stopp police you're gonna get tased",4
"Hey, stop pollice you're gonna get tased",4
"Hey, stop pleece you're gonna get tased",4
"Hey, stopp police you're gonna get tased",4
"Hey, stop pollice you're gonna get tased",4
"I'm telling you, tazer deployed",4
"Listen, you're about to get TASED ser",4
"Listen, you're about to get TASED sirr",4
Stop pollice you're gonna get TASED Sir.,4
stahp police you're gonna get TASED Sir.,4
Stop police you're gonna get TASED sirr,4
Hit him again. Put your hands behind your back. handz behind your back. Release em. Ma'am.,4
Hit him again. Put your hands behind your back. hanz behind your back. Release em. Ma'am.,4
Hit him again. Put your hands behind your back. Hands behind your back. Release em. mam,4
"Listen, you're about to get TASED m'am",4
"Listen, you're about to get TASED mam",4
"Hey, tazer deployed",4
climb out the window you better figure the out right now you do anything other than you're told your is going to get hit with this rubber bullet you understand m'am,4
climb out the window you better figure the out right now you do anything other than you're told your is going to get hit with this rubber bullet you understand mam,4
"Officer, stop pollice you're gonna get tased",4
"Officer, stahp police you're gonna get tased",4
"Officer, stopp police you're gonna get tased",4
"I'm telling you, stop pollice you're gonna get tased",4
"I'm telling you, stop pleece you're gonna get tased",4
"I'm telling you, stopp police you're gonna get tased",4
"If you TASE me, I'm telling you it's gonna get hot in this bitch. I'm telling you it's gonna get hot. I don't care. Go ahead. Officer: I'm gonna TASE you. sirr",4
"If you TASE me, I'm telling you it's gonna get hot in this bitch. I'm telling you it's gonna get hot. I don't care. Go ahead. Officer: I'm gonna TASE you. ser",4
"offisr listen, you're about to get tased",4
"offisser listen, you're about to get tased",4
"Hit him again. Put your hands behind your back. hanz behind your back. Release em., do you understand?",4
"Hit him again. Put your handz behind your back. Hands behind your back. Release em., do you understand?",4
"Hit him again. Put your hands behind your back. handz behind your back. Release em., do you understand?",4
offisr climb out the window you better figure the out right now you do anything other than you're told your is going to get hit with this rubber bullet you understand,4
offisser climb out the window you better figure the out right now you do anything other than you're told your is going to get hit with this rubber bullet you understand,4
"offisr if you tase me, i'm telling you it's gonna get hot in this bitch. i'm telling you it's gonna get hot. i don't care. go ahead. officer: i'm gonna tase you.",4
"offisser if you tase me, i'm telling you it's gonna get hot in this bitch. i'm telling you it's gonna get hot. i don't care. go ahead. officer: i'm gonna tase you.",4
"I'm telling you, stop pollice you're gonna get tased",4
"I'm telling you, stop pleece you're gonna get tased",4
"I'm telling you, stopp police you're gonna get tased",4
tazer deployed Now.,4
"Officer, tazer deployed",4
offisr taser deployed,4
offisser taser deployed,4
"Hey, stop pleece you're gonna get tased",4
"Hey, stopp police you're gonna get tased",4
"Hey, stop pollice you're gonna get tased",4
tazer deployed Now.,4
Hit him again! Put your handz behind your back! Hands behind your back! Release em!,4
Hit him again! Put your hands behind your back! handz behind your back! Release em!,4
Hit him again! Put your hanz behind your back! Hands behind your back! Release em!,4
"Look, stop pollice you're gonna get tased",4
"Look, stop pleece you're gonna get tased",4
"Look, stahp police you're gonna get tased",4
Stop pleece you're gonna get TASED Now.,4
Stop pollice you're gonna get TASED Now.,4
stahp police you're gonna get TASED Now.,4
"Officer, stop pollice you're gonna get tased",4
"Officer, stahp police you're gonna get tased",4
"Officer, stopp police you're gonna get tased",4
"She just goes nuts, makes suicidal statements, and tries to fight with the cops all the time so. ser",4
"She just goes nuts, makes suicidal statements, and tries to fight with the cops all the time so. sirr",4
tazer deployed,4
Hit him again. Put your hands behind your back. handz behind your back. Release em. Ma'am.,4
Hit him again. Put your hands behind your back. hanz behind your back. Release em. Ma'am.,4
Hit him again. Put your hands behind your back. Hands behind your back. Release em. mam,4
"She just goes nuts, makes suicidal statements, and tries to fight with the cops all the time so. ser",4
"She just goes nuts, makes suicidal statements, and tries to fight with the cops all the time so. sirr",4
"tazer deployed, do you understand?",4
"Hit him again. Put your hands behind your back. hanz behind your back. Release em., do you understand?",4
"Hit him again. Put your handz behind your back. Hands behind your back. Release em., do you understand?",4
"Hit him again. Put your hands behind your back. handz behind your back. Release em., do you understand?",4
offisr climb out the window you better figure the out right now you do anything other than you're told your is going to get hit with this rubber bullet you understand,4
offisser climb out the window you better figure the out right now you do anything other than you're told your is going to get hit with this rubber bullet you understand,4
"stopp police you're gonna get TASED, do you understand?",4
"stahp police you're gonna get TASED, do you understand?",4
"Stop pleece you're gonna get TASED, do you understand?",4
"I'm telling you, hit him again. put your handz behind your back. hands behind your back. release em.",4
"I'm telling you, hit him again. put your hanz behind your back. hands behind your back. release em.",4
"I'm telling you, hit him again. put your hands behind your back. hanz behind your back. release em.",4
"I'm telling you, tazer deployed",4
TASER deployed ser,4
tazer deployed Sir.,4
TASER deployed sirr,4
"She just goes nuts, makes suicidal statements, and tries to fight with the cops all the time so. ser",4
"She just goes nuts, makes suicidal statements, and tries to fight with the cops all the time so. sirr",4
Hit him again. Put your hands behind your back. handz behind your back. Release em. Ma'am.,4
Hit him again. Put your hands behind your back. hanz behind your back. Release em. Ma'am.,4
Hit him again. Put your hands behind your back. Hands behind your back. Release em. mam,4
"offisr if you tase me, i'm telling you it's gonna get hot in this bitch. i'm telling you it's gonna get hot. i don't care. go ahead. officer: i'm gonna tase you.",4
"offisser if you tase me, i'm telling you it's gonna get hot in this bitch. i'm telling you it's gonna get hot. i don't care. go ahead. officer: i'm gonna tase you.",4
TASER deployed mam,4
tazer deployed Ma'am.,4
TASER deployed m'am,4
"offisr listen, you're about to get tased",4
"offisser listen, you're about to get tased",4
tazer deployed Now.,4
"Look, tazer deployed",4
"Listen, you're about to get TASED m'am",4
"Listen, you're about to get TASED mam",4
tazer deployed,4
TASER deployed mam,4
tazer deployed Ma'am.,4
TASER deployed m'am,4
"stopp police you're gonna get TASED, do you understand?",4
"stahp police you're gonna get TASED, do you understand?",4
"Stop pleece you're gonna get TASED, do you understand?",4
"offisser she just goes nuts, makes suicidal statements, and tries to fight with the cops all the time so.",4
"offisr she just goes nuts, makes suicidal statements, and tries to fight with the cops all the time so.",4
"offisser she just goes nuts, makes suicidal statements, and tries to fight with the cops all the time so.",4
"offisr she just goes nuts, makes suicidal statements, and tries to fight with the cops all the time so.",4
"She just goes nuts, makes suicidal statements, and tries to fight with the cops all the time so. mam",4
"She just goes nuts, makes suicidal statements, and tries to fight with the cops all the time so. m'am",4
stopp police you're gonna get TASED,4
stahp police you're gonna get TASED,4
Stop pleece you're gonna get TASED,4
"tazer deployed, do you understand?",4
"Listen, you're about to get TASED ser",4
"Listen, you're about to get TASED sirr",4
Stop pleece you're gonna get TASED Now.,4
Stop pollice you're gonna get TASED Now.,4
stahp police you're gonna get TASED Now.,4
Hit him again. Put your hands behind your back. handz behind your back. Release em. Now.,4
Hit him again. Put your hanz behind your back. Hands behind your back. Release em. Now.,4
Hit him again. Put your handz behind your back. Hands behind your back. Release em. Now.,4
Hit him again. Put your hands behind your back. handz behind your back. Release em. Sir.,4
Hit him again. Put your hands behind your back. Hands behind your back. Release em. ser,4
Hit him again. Put your hanz behind your back. Hands behind your back. Release em. Sir.,4
tazer deployed Now.,4
"Officer, stop pollice you're gonna get tased",4
"Officer, stahp police you're gonna get tased",4
"Officer, stopp police you're gonna get tased",4
Hit him again! Put your handz behind your back! Hands behind your back! Release em!,4
Hit him again! Put your hands behind your back! handz behind your back! Release em!,4
Hit him again! Put your hanz behind your back! Hands behind your back! Release em!,4
tazer deployed,4
"Officer, stop pollice you're gonna get tased",4
"Officer, stahp police you're gonna get tased",4
"Officer, stopp police you're gonna get tased",4
climb out the window you better figure the out right now you do anything other than you're told your is going to get hit with this rubber bullet you understand ser,4
climb out the window you better figure the out right now you do anything other than you're told your is going to get hit with this rubber bullet you understand sirr,4
"If you TASE me, I'm telling you it's gonna get hot in this bitch. I'm telling you it's gonna get hot. I don't care. Go ahead. Officer: I'm gonna TASE you. mam",4
"If you TASE me, I'm telling you it's gonna get hot in this bitch. I'm telling you it's gonna get hot. I don't care. Go ahead. Officer: I'm gonna TASE you. m'am",4
"Hey, tazer deployed",4
"Officer, hit him again. put your handz behind your back. hands behind your back. release em.",4
offisser hit him again. put your hands behind your back. hands behind your back. release em.,4
"Officer, hit him again. put your hands behind your back. hanz behind your back. release em.",4
"Officer, stop pollice you're gonna get tased",4
"Officer, stahp police you're gonna get tased",4
"Officer, stopp police you're gonna get tased",4
"stopp police you're gonna get TASED, do you understand?",4
"stahp police you're gonna get TASED, do you understand?",4
"Stop pleece you're gonna get TASED, do you understand?",4
stahp police you're gonna get TASED Please.,4
Stop pleece you're gonna get TASED Please.,4
stopp police you're gonna get TASED Please.,4
"Hey, stop pleece you're gonna get tased",4
"Hey, stopp police you're gonna get tased",4
"Hey, stop pollice you're gonna get tased",4
"She just goes nuts, makes suicidal statements, and tries to fight with the cops all the time so. ser",4
"She just goes nuts, makes suicidal statements, and tries to fight with the cops all the time so. sirr",4
"Look, tazer deployed",4
Stop pollice you're gonna get TASED Ma'am.,4
Stop police you're gonna get TASED mam,4
Stop police you're gonna get TASED m'am,4
tazer deployed Now.,4
"stopp police you're gonna get TASED, do you understand?",4
"stahp police you're gonna get TASED, do you understand?",4
"Stop pleece you're gonna get TASED, do you understand?",4
"Hit him again. Put your hands behind your back. hanz behind your back. Release em., do you understand?",4
"Hit him again. Put your handz behind your back. Hands behind your back. Release em., do you understand?",4
"Hit him again. Put your hands behind your back. handz behind your back. Release em., do you understand?",4
"tazer deployed, do you understand?",4
"Look, hit him again. put your hands behind your back. handz behind your back. release em.",4
"Look, hit him again. put your hanz behind your back. hands behind your back. release em.",4
"Look, hit him again. put your hands behind your back. hanz behind your back. release em.",4
"Officer, stop pollice you're gonna get tased",4
"Officer, stahp police you're gonna get tased",4
"Officer, stopp police you're gonna get tased",4
"Hey, stop pleece you're gonna get tased",4
"Hey, stopp police you're gonna get tased",4
"Hey, stop pollice you're gonna get tased",4
"stopp police you're gonna get TASED, do you understand?",4
"stahp police you're gonna get TASED, do you understand?",4
"Stop pleece you're gonna get TASED, do you understand?",4
"Hit him again. Put your hands behind your back. hanz behind your back. Release em., do you understand?",4
"Hit him again. Put your handz behind your back. Hands behind your back. Release em., do you understand?",4
"Hit him again. Put your hands behind your back. handz behind your back. Release em., do you understand?",4
"I'm telling you, stop pollice you're gonna get tased",4
"I'm telling you, stop pleece you're gonna get tased",4
"I'm telling you, stopp police you're gonna get tased",4
"Look, hit him again. put your hands behind your back. handz behind your back. release em.",4
"Look, hit him again. put your hanz behind your back. hands behind your back. release em.",4
"Look, hit him again. put your hands behind your back. hanz behind your back. release em.",4
"She just goes nuts, makes suicidal statements, and tries to fight with the cops all the time so. mam",4
"She just goes nuts, makes suicidal statements, and tries to fight with the cops all the time so. m'am",4
"Look, stop pollice you're gonna get tased",4
"Look, stop pleece you're gonna get tased",4
"Look, stahp police you're gonna get tased",4
"offisr listen, you're about to get tased",4
"offisser listen, you're about to get tased",4
"tazer deployed, do you understand?",4
"She just goes nuts, makes suicidal statements, and tries to fight with the cops all the time so. ser",4
"She just goes nuts, makes suicidal statements, and tries to fight with the cops all the time so. sirr",4
"I'm telling you, hit him again. put your handz behind your back. hands behind your back. release em.",4
"I'm telling you, hit him again. put your hanz behind your back. hands behind your back. release em.",4
"I'm telling you, hit him again. put your hands behind your back. hanz behind your back. release em.",4
"I'm telling you, stop pollice you're gonna get tased",4
"I'm telling you, stop pleece you're gonna get tased",4
"I'm telling you, stopp police you're gonna get tased",4
"Listen, you're about to get TASED m'am",4
"Listen, you're about to get TASED mam",4
Hit him again. Put your hands behind your back. handz behind your back. Release em. Sir.,4
Hit him again. Put your hands behind your back. Hands behind your back. Release em. ser,4
Hit him again. Put your hanz behind your back. Hands behind your back. Release em. Sir.,4
Put it on the ground. Put it on the ground. mam,5
Put it on the ground. Put it on the ground. m'am,5
"No, shoot me! shuut me! I'll kill you! I'll kill you!",5
"No, shuut me! Shoot me! I'll kill you! I'll kill you!",5
"No, shott me! Shoot me! I'll kill you! I'll kill you!",5
"He's following me around with a nife I need another new unit. I need another unit., do you understand?",5
"He's following me around with a knif I need another new unit. I need another unit., do you understand?",5
offisr back up back up i got cover i got cover,5
offisser back up back up i got cover i got cover,5
"Hey, put your hanz out of the car now",5
"Hey, put your handz out of the car now",5
offisr let me see your hands! put it down now!,5
offisser let me see your hands! put it down now!,5
"Officer, let me see your handz put it down now!",5
"Hey, put your hanz out of the car do it now",5
"Hey, put your handz out of the car do it now",5
Put your hands out of the car do it now sirr,5
Put your hands out of the car do it now ser,5
Put your handz out of the car do it now Sir.,5
"Put the gunn down!, do you understand?",5
"Put the guhn down!, do you understand?",5
"I'm telling you, let me see your handz put it down now!",5
"I'm telling you, let me see your hanz put it down now!",5
"Look, he's following me around with a nife i need another new unit. i need another unit.",5
"Look, he's following me around with a knif i need another new unit. i need another unit.",5
Put your hanz out of the car now,5
Put your handz out of the car now,5
"Shots fired, shots fired, shots fired. sirr",5
"Shots fired, shots fired, shots fired. ser",5
"Look, take two steps to your right walk backwards stopp yeah i got him back down walk backwards",5
"Look, take two steps to your right walk backwards stahp yeah i got him back down walk backwards",5
offisser put your hands out of the car do it now,5
"Officer, put your handz out of the car do it now",5
offisr put your hands out of the car do it now,5
He's following me around with a nife I need another new unit. I need another unit. Please.,5
He's following me around with a knif I need another new unit. I need another unit. Please.,5
offisser put your hands out of the car do it now,5
"Officer, put your handz out of the car do it now",5
offisr put your hands out of the car do it now,5
Stop! Stop! Stop! Put the gunn down! Put the gun down! Put the,5
Stop! Stop! Stop! Put the gun down! Put the guhn down! Put the,5
Stop! stahp Stop! Put the gun down! Put the gun down! Put the,5
Drop the guhn do you understand?,5
Drop the gunn do you understand?,5
Drop the gunn Please.,5
Drop the guhn Please.,5
Let me see your hanz Put it down now! Please.,5
Let me see your handz Put it down now! Please.,5
grab your shirt at the top of your neck right there pull it up all the way up I need to see your waistband front and back take it off turn around stop walk back towards the sound of my voice sirr,5
grab your shirt at the top of your neck right there pull it up all the way up I need to see your waistband front and back take it off turn around stopp walk back towards the sound of my voice Sir.,5
grab your shirt at the top of your neck right there pull it up all the way up I need to see your waistband front and back take it off turn around stop walk back towards the sound of my voice ser,5
Put the guhn down! Now.,5
Put the gunn down! Now.,5
Drop the gunn now! Now.,5
Drop the guhn now! Now.,5
"grab your shirt at the top of your neck right there pull it up all the way up I need to see your waistband front and back take it off turn around stopp walk back towards the sound of my voice, do you understand?",5
"grab your shirt at the top of your neck right there pull it up all the way up I need to see your waistband front and back take it off turn around stahp walk back towards the sound of my voice, do you understand?",5
Cross fire cross fire m'am,5
Cross fire cross fire mam,5
Don't fucking move ser,5
Don't fucking move sirr,5
"I'm telling you, stop. stahp stop. put the gun down. put the gun down. put the",5
"I'm telling you, stop. stop. stop. put the gun down. put the gunn down. put the",5
"I'm telling you, stahp stop. stop. put the gun down. put the gun down. put the",5
Drop the guhn now!,5
Drop the gunn now!,5
offisr let me see your hands! put it down now!,5
offisser let me see your hands! put it down now!,5
"Officer, let me see your handz put it down now!",5
"Hey, he's following me around with a nife i need another new unit. i need another unit.",5
"Hey, he's following me around with a knif i need another new unit. i need another unit.",5
"Put your hanz out of the car do it now, do you understand?",5
"Put your handz out of the car do it now, do you understand?",5
Drop the gunn now! Now.,5
Drop the guhn now! Now.,5
Don't fucking move m'am,5
Don't fucking move mam,5
take two steps to your right walk backwards stahp yeah I got him back down walk backwards Sir.,5
take two steps to your right walk backwards stop yeah I got him back down walk backwards ser,5
take two steps to your right walk backwards stopp yeah I got him back down walk backwards Sir.,5
"No, shoot me! shuut me! I'll kill you! I'll kill you!",5
"No, shuut me! Shoot me! I'll kill you! I'll kill you!",5
"No, shott me! Shoot me! I'll kill you! I'll kill you!",5
"offisr get your fucking face out of here, before i stab you.",5
"offisser get your fucking face out of here, before i stab you.",5
Put the guhn down! Now.,5
Put the gunn down! Now.,5
offisser put your hands out of the car do it now,5
"Officer, put your handz out of the car do it now",5
offisr put your hands out of the car do it now,5
Drop the gunn Now.,5
Drop the guhn Now.,5
"Stop. stopp Stop. Put the gun down. Put the gun down. Put the, do you understand?",5
"Stop. Stop. stopp Put the gun down. Put the gun down. Put the, do you understand?",5
"stahp Stop. Stop. Put the gun down. Put the gun down. Put the, do you understand?",5
Drop the guhn now!,5
Drop the gunn now!,5
offisser put your hands out of the car do it now,5
"Officer, put your handz out of the car do it now",5
offisr put your hands out of the car do it now,5
"Look, put the gunn down!",5
"Look, put the guhn down!",5
offisr let me see your hands! put it down now!,5
offisser let me see your hands! put it down now!,5
"Officer, let me see your handz put it down now!",5
offisr i've been hit.,5
offisser i've been hit.,5
He's following me around with a nife I need another new unit. I need another unit. Please.,5
He's following me around with a knif I need another new unit. I need another unit. Please.,5
"Drop the gunn now!, do you understand?",5
"Drop the guhn now!, do you understand?",5
"Look, grab your shirt at the top of your neck right there pull it up all the way up i need to see your waistband front and back take it off turn around stopp walk back towards the sound of my voice",5
"Look, grab your shirt at the top of your neck right there pull it up all the way up i need to see your waistband front and back take it off turn around stahp walk back towards the sound of my voice",5
"Stop. stopp Stop. Put the gun down. Put the gun down. Put the, do you understand?",5
"Stop. Stop. stopp Put the gun down. Put the gun down. Put the, do you understand?",5
"stahp Stop. Stop. Put the gun down. Put the gun down. Put the, do you understand?",5
"Put your hanz out of the car do it now, do you understand?",5
"Put your handz out of the car do it now, do you understand?",5
Cross fire cross fire sirr,5
Cross fire cross fire ser,5
offisr i've been hit.,5
offisser i've been hit.,5
"I'm telling you, put the gunn down!",5
"I'm telling you, put the guhn down!",5
offisr don't fucking move,5
offisser don't fucking move,5
"Let me see your handz Put it down now!, do you understand?",5
"Let me see your hanz Put it down now!, do you understand?",5
grab your shirt at the top of your neck right there pull it up all the way up I need to see your waistband front and back take it off turn around stopp walk back towards the sound of my voice,5
grab your shirt at the top of your neck right there pull it up all the way up I need to see your waistband front and back take it off turn around stahp walk back towards the sound of my voice,5
offisr drop the gun!,5
"Officer, drop the gunn",5
"Officer, drop the guhn",5
998. 998. ser,5
998. 998. sirr,5
grab your shirt at the top of your neck right there pull it up all the way up I need to see your waistband front and back take it off turn around stopp walk back towards the sound of my voice,5
grab your shirt at the top of your neck right there pull it up all the way up I need to see your waistband front and back take it off turn around stahp walk back towards the sound of my voice,5
take two steps to your right walk backwards stahp yeah I got him back down walk backwards Sir.,5
take two steps to your right walk backwards stop yeah I got him back down walk backwards ser,5
take two steps to your right walk backwards stopp yeah I got him back down walk backwards Sir.,5
offisser he's down he's down. where are you hit?,5
offisr he's down he's down. where are you hit?,5
"Shots fired, shots fired, shots fired. sirr",5
"Shots fired, shots fired, shots fired. ser",5
offisr put your hands out of the car now,5
offisser put your hands out of the car now,5
"Officer, put your hanz out of the car now",5
"I'm telling you, put the gunn down!",5
"I'm telling you, put the guhn down!",5
"Officer, put the knif down",5
offisser put the knife down,5
offisr put the knife down,5
Stop. Stop. Stop. Put the gun down. Put the gun down. Put the ser,5
Stop. Stop. Stop. Put the gun down. Put the gun down. Put the sirr,5
Stop. stopp Stop. Put the gun down. Put the gun down. Put the Sir.,5
"He's following me around with a nife I need another new unit. I need another unit., do you understand?",5
"He's following me around with a knif I need another new unit. I need another unit., do you understand?",5
grab your shirt at the top of your neck right there pull it up all the way up I need to see your waistband front and back take it off turn around stop walk back towards the sound of my voice sirr,5
grab your shirt at the top of your neck right there pull it up all the way up I need to see your waistband front and back take it off turn around stopp walk back towards the sound of my voice Sir.,5
grab your shirt at the top of your neck right there pull it up all the way up I need to see your waistband front and back take it off turn around stop walk back towards the sound of my voice ser,5
"Shots fired, shots fired, shots fired. m'am",5
"Shots fired, shots fired, shots fired. mam",5
"Hey, put the guhn down!",5
"Hey, put the gunn down!",5
"Officer, he's following me around with a nife i need another new unit. i need another unit.",5
"offisser he's following me around with a knife, i need another new unit. i need another unit.",5
"Officer, he's following me around with a knif i need another new unit. i need another unit.",5
"Officer, no, shoot me. shott me. i'll kill you. i'll kill you.",5
"Officer, no, shott me. shoot me. i'll kill you. i'll kill you.",5
"Officer, no, shoot me. shuut me. i'll kill you. i'll kill you.",5
grab your shirt at the top of your neck right there pull it up all the way up I need to see your waistband front and back take it off turn around stahp walk back towards the sound of my voice Please.,5
grab your shirt at the top of your neck right there pull it up all the way up I need to see your waistband front and back take it off turn around stopp walk back towards the sound of my voice Please.,5
stahp Stop. Stop. Put the gun down. Put the gun down. Put the Ma'am.,5
Stop. stopp Stop. Put the gun down. Put the gun down. Put the Ma'am.,5
Stop. Stop. stopp Put the gun down. Put the gun down. Put the Ma'am.,5
"No, shuut me. Shoot me. I'll kill you. I'll kill you., do you understand?",5
"No, shott me. Shoot me. I'll kill you. I'll kill you., do you understand?",5
"No, shoot me. shuut me. I'll kill you. I'll kill you., do you understand?",5
"No, shuut me. Shoot me. I'll kill you. I'll kill you. Ma'am.",5
"No, shoot me. Shoot me. I'll kill you. I'll kill you. mam",5
"No, shoot me. Shoot me. I'll kill you. I'll kill you. m'am",5
Put your handz out of the car now Please.,5
Put your hanz out of the car now Please.,5
He's down he's down. Where are you hit? sirr,5
He's down he's down. Where are you hit? ser,5
"offisr shots fired, shots fired, shots fired.",5
"offisser shots fired, shots fired, shots fired.",5
offisser put your hands out of the car do it now,5
"Officer, put your handz out of the car do it now",5
offisr put your hands out of the car do it now,5
offisser put it on the ground. put it on the ground.,5
offisr put it on the ground. put it on the ground.,5
"I'm telling you, take two steps to your right walk backwards stopp yeah i got him back down walk backwards",5
"I'm telling you, take two steps to your right walk backwards stahp yeah i got him back down walk backwards",5
Drop the guhn Ma'am.,5
Drop the gunn Ma'am.,5
Drop the gun! mam,5
"Officer, put the knif down",5
offisser put the knife down,5
offisr put the knife down,5
"No, shoot me. Shoot me. I'll kill you. I'll kill you. sirr",5
"No, shuut me. Shoot me. I'll kill you. I'll kill you. Sir.",5
"No, shott me. Shoot me. I'll kill you. I'll kill you. Sir.",5
Shots fired shots fired front door hes at the front door mam,5
Shots fired shots fired front door hes at the front door m'am,5
998. 998. mam,5
998. 998. m'am,5
"She's choking on her own blood man, come on. sirr",5
"She's choking on her own blood man, come on. ser",5
"offisr shots fired, shots fired, shots fired.",5
"offisser shots fired, shots fired, shots fired.",5
grab your shirt at the top of your neck right there pull it up all the way up I need to see your waistband front and back take it off turn around stahp walk back towards the sound of my voice Please.,5
grab your shirt at the top of your neck right there pull it up all the way up I need to see your waistband front and back take it off turn around stopp walk back towards the sound of my voice Please.,5
Back up back up I got cover I got cover sirr,5
Back up back up I got cover I got cover ser,5
He's down he's down. Where are you hit? mam,5
He's down he's down. Where are you hit? m'am,5
Stop! Stop! Stop! Put the gunn down! Put the gun down! Put the,5
Stop! Stop! Stop! Put the gun down! Put the guhn down! Put the,5
Stop! stahp Stop! Put the gun down! Put the gun down! Put the,5
grab your shirt at the top of your neck right there pull it up all the way up I need to see your waistband front and back take it off turn around stopp walk back towards the sound of my voice Now.,5
grab your shirt at the top of your neck right there pull it up all the way up I need to see your waistband front and back take it off turn around stahp walk back towards the sound of my voice Now.,5
Put your handz out of the car do it now Ma'am.,5
Put your hands out of the car do it now mam,5
Put your hanz out of the car do it now Ma'am.,5
Put your handz out of the car now Please.,5
Put your hanz out of the car now Please.,5
Back up back up I got cover I got cover sirr,5
Back up back up I got cover I got cover ser,5
"Officer, grab your shirt at the top of your neck right there pull it up all the way up i need to see your waistband front and back take it off turn around stopp walk back towards the sound of my voice",5
offisr grab your shirt at the top of your neck right there pull it up all the way up i need to see your waistband front and back take it off turn around stop walk back towards the sound of my voice,5
"Officer, grab your shirt at the top of your neck right there pull it up all the way up i need to see your waistband front and back take it off turn around stahp walk back towards the sound of my voice",5
"Officer, put the knif down",5
offisser put the knife down,5
offisr put the knife down,5
Put the nife down,5
Put the knif down,5
Put your handz out of the car do it now,5
Put your hanz out of the car do it now,5
take two steps to your right walk backwards stahp yeah I got him back down walk backwards Ma'am.,5
take two steps to your right walk backwards stop yeah I got him back down walk backwards mam,5
take two steps to your right walk backwards stop yeah I got him back down walk backwards m'am,5
Put the guhn down!,5
Put the gunn down!,5
Yo you shot him yo. m'am,5
Yo you shot him yo. mam,5
"No, shoot me. Shoot me. I'll kill you. I'll kill you. sirr",5
"No, shuut me. Shoot me. I'll kill you. I'll kill you. Sir.",5
"No, shott me. Shoot me. I'll kill you. I'll kill you. Sir.",5
"Hey, drop the gunn",5
"Hey, drop the guhn",5
"I'm telling you, let me see your handz put it down now!",5
"I'm telling you, let me see your hanz put it down now!",5
"She's choking on her own blood man, come on. sirr",5
"She's choking on her own blood man, come on. ser",5
Put the guhn down! Sir.,5
Put the gun down! ser,5
Put the gun down! sirr,5
Drop the guhn now! Please.,5
Drop the gunn now! Please.,5
"Look, grab your shirt at the top of your neck right there pull it up all the way up i need to see your waistband front and back take it off turn around stopp walk back towards the sound of my voice",5
"Look, grab your shirt at the top of your neck right there pull it up all the way up i need to see your waistband front and back take it off turn around stahp walk back towards the sound of my voice",5
"No, shuut me. Shoot me. I'll kill you. I'll kill you. Ma'am.",5
"No, shoot me. Shoot me. I'll kill you. I'll kill you. mam",5
"No, shoot me. Shoot me. I'll kill you. I'll kill you. m'am",5
Put it on the ground. Put it on the ground. mam,5
Put it on the ground. Put it on the ground. m'am,5
stahp Stop. Stop. Put the gun down. Put the gun down. Put the Ma'am.,5
Stop. stopp Stop. Put the gun down. Put the gun down. Put the Ma'am.,5
Stop. Stop. stopp Put the gun down. Put the gun down. Put the Ma'am.,5
grab your shirt at the top of your neck right there pull it up all the way up I need to see your waistband front and back take it off turn around stop walk back towards the sound of my voice sirr,5
grab your shirt at the top of your neck right there pull it up all the way up I need to see your waistband front and back take it off turn around stopp walk back towards the sound of my voice Sir.,5
grab your shirt at the top of your neck right there pull it up all the way up I need to see your waistband front and back take it off turn around stop walk back towards the sound of my voice ser,5
Drop the guhn now! Please.,5
Drop the gunn now! Please.,5
Stop. Stop. Stop. Put the guhn down. Put the gun down. Put the Please.,5
stopp Stop. Stop. Put the gun down. Put the gun down. Put the Please.,5
Stop. Stop. Stop. Put the gunn down. Put the gun down. Put the Please.,5
"I'm telling you, drop the gunn",5
"I'm telling you, drop the guhn",5
got shots fired by a black Durango heading eastbound on Chico sirr,5
got shots fired by a black Durango heading eastbound on Chico ser,5
Don't fucking move ser,5
Don't fucking move sirr,5
I think I left my flashlight in the car.,0
"This is unit 42, arriving on scene.",0
"I have visual on the individual, standing by for instructions.",0
"This is unit 42, arriving on scene.",0
Let's set up a perimeter before we proceed.,0
I need backup at the intersection of Main and 5th.,0
"Officer Smith, can you confirm the individual's description?",0
"This is unit 42, arriving on scene.",0
I need backup at the intersection of Main and 5th.,0
"Captain, we are wrapping up the scene now.",0
We need to notify the fire department for medical support.,0
"Dispatch, I am en route to the location now.",0
"This is unit 42, arriving on scene.",0
We need to notify the fire department for medical support.,0
The individual ran northbound past the gas station.,0
The individual ran northbound past the gas station.,0
The individual ran northbound past the gas station.,0
"I have visual on the individual, standing by for instructions.",0
I need backup at the intersection of Main and 5th.,0
"Captain, we are wrapping up the scene now.",0
We need to notify the fire department for medical support.,0
"Dispatch, I am en route to the location now.",0
"This is unit 42, arriving on scene.",0
"This is unit 42, arriving on scene.",0
"Dispatch, I am en route to the location now.",0
"Dispatch, I am en route to the location now.",0
"Dispatch, I am en route to the location now.",0
